投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4
一汽-大众奥迪,奥迪Q3,2021款 35 TFSI 进取动感型,一汽大众奥迪Q3蓝牙连接手机无法使用,车身附件及电器,车载互联故障,
广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度冷车启动发动机异响严重,发动机,异响,
一汽丰田,亚洲龙,2019款 双擎 2.5L 豪华版 国Ⅵ,丰田亚洲龙座椅褶皱车门异响车钥匙磨损,车身附件及电器,门窗异响,座椅故障
BEIJING汽车,绅宝D50,2016款 1.5L 手动 精英版,BEIJING汽车绅宝D50贷款还清4S店不解押,,承诺不兑现,
北京现代,索纳塔,2015款 1.6T 双离合 DLX尊贵型,北京现代索纳塔天窗被砸坏厂家不提供配件,,配件争议,
星途,星途LX,2020款 乘风破浪版 1.5T CVT 星耀版,奇瑞星途LX新车发票保养手册丢失,,销售欺诈,服务流程不完善
上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L厂家拒绝向4S店提供配件,,配件争议,
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
新特汽车,SITECH DEV 1,2018款 创睿版,新特汽车SITECH DEV 1半轴异响车联网故障,前后桥及悬挂系统,底盘异响,影音系统故障
一汽-大众,宝来,2020款 1.5L 自动 舒适型,一汽大众宝来倒车时踩刹车异响希望厂家处理,制动系统,异响,
东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸发动机故障灯亮加速无力,发动机,故障灯亮,功率不足
上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸车辆配置减配希望解决,,其他,
华晨宝马,宝马3系,2020款 325Li M运动曜夜套装,华晨宝马3系天窗与左前轮异响 空调电机失效,前后桥及悬挂系统,车轮异响,空调问题
吉利汽车,缤越,2019款 260T DCT 游侠 国VI 运动款,吉利缤越售后维修服务站点无维修保养资质,,服务流程不完善,
广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 7座 国VI,广汽三菱欧蓝德高速时无法加速方向盘变轻,变速器,无法加速,转向机故障
一汽-大众,探岳,2020款 380TSI 四驱 R-Line智联版,一汽大众探岳车灯有白雾希望厂家处理,车身附件及电器,车灯不亮,
华晨宝马,宝马X3,2020款 xDrive30i 领先型 M运动套装,华晨宝马X3新车雨刮器发生抖动故障,车身附件及电器,雨刮器故障,
上汽大众,途观X,2021款 330TSI 两驱 越享版,上汽大众途观X发动机盖螺丝有拆卸过痕迹,,销售欺诈,
一汽奔腾,奔腾B30,2016款 1.6L 手动 舒适型,一汽奔腾B30高速时转向卡滞存在质量问题,转向系统,卡滞,
上汽大众,凌渡,2015款 280TSI DSG 舒适版,上汽大众凌渡冷车启动提示变速箱故障,变速器,故障灯亮,
一汽-大众捷达,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5玲珑轮胎开裂 氧传感器故障,轮胎,开裂,传感器故障
一汽-大众,迈腾,2017款 330TSI DSG 尊贵型,一汽大众迈腾变速箱处于紧急运行模式,变速器,电脑板故障,
上汽大众,帕萨特,2014款 1.8TSI DSG尊雅版,上汽大众帕萨特变速箱机电单元存在故障,变速器,电脑板故障,
广汽丰田,丰田C-HR,2020款 2.0L 领先版,广汽丰田C-HR低速跟车时变速箱顿挫且有异响,变速器,异响,顿挫
一汽-大众,高尔夫,2017款 230TSI 自动 豪华百万辆纪念版,一汽大众高尔夫打开油箱盖后有异响,车身附件及电器,汽油箱异响,
路虎进口,揽胜星脉,2020款 P250,揽胜星脉销售人员涉嫌诈骗金额未退还,,服务收费,
一汽-大众,探岳X,2020款 330TSI 两驱 尊贵智联版,一汽大众探岳X颗粒捕捉器堵塞导致油耗高,发动机,排气故障,车灯不亮
长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯中控屏黑屏扬声器异响,车身附件及电器,影音系统故障,车载互联故障
长安福特,翼虎,2013款 2.0T 四驱尊贵型,长安福特翼虎油箱盖异响希望厂家处理问题,车身附件及电器,汽油箱异响,
东南汽车,东南DX7,2015款 1.5T  自动 尊贵型,东南DX7电子手刹系统故障无法解除,制动系统,手刹故障,
一汽-大众,探岳,2019款 330TSI 两驱 舒适型  国V,一汽大众探岳车灯不亮影响行车安全,车身附件及电器,车灯不亮,
一汽-大众,高尔夫·嘉旅,2019款 280TSI 自动 好奇型 国V,大众高尔夫·嘉旅刹车异响底盘异响车门异响,制动系统,异响,底盘异响
东风本田,本田CR-V,2019款 锐·混动 2.0L 两驱 净驰版 国VI,东风本田CR-V行驶时汽油箱有异响,车身附件及电器,汽油箱异响,
长安福特,福克斯,2012款 1.6 手动 风尚型 三厢,长安福特福克斯前轮轴承异响 天窗漏水,前后桥及悬挂系统,车轮异响,天窗漏水
东风日产,奇骏,2017款 2.5L CVT 至尊版 5座 4WD,东风日产奇骏变速箱电磁阀故障无法加速,变速器,无法加速,滑阀箱故障
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 精英型,奇瑞瑞虎8发动机容易熄火厂家不作为,发动机,无法启动,熄火
东风日产,骐达TIIDA,2020款 1.6L CVT 智行版,东风日产骐达油箱异响要求厂家解决,车身附件及电器,汽油箱异响,
海马汽车,海马M3,2013款 1.5L 手动 基本型,海马M3车身以及侧裙多处生锈严重,车身附件及电器,车身生锈,
东风本田,本田CR-V,2021款 锐·混动 2.0L 两驱 净驰版,东风本田CR-V油箱异响 车身漆面开裂,车身附件及电器,漆面起泡开裂,汽油箱异响
东风小康,风光580,2016款 1.8L 手动 舒适型,东风风光580减震器异响 电子油泵故障,前后桥及悬挂系统,减震器异响,汽油泵故障
北京奔驰,奔驰A级AMG,2020款 AMG A 35 L 4MATIC,北京奔驰A级AMG刹车异响要求解决,制动系统,异响,
一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L车内音响喇叭电流声,车身附件及电器,影音系统故障,
北京现代,悦动,2017款 1.6L 自动 悦值版 GLS,北京现代悦动启动困难厂家一直未解决,发动机,无法启动,
东风英菲尼迪,英菲尼迪QX50,2018款 2.0T 四驱 智能版,东风英菲尼迪QX50转向异响希望厂家处理问题,转向系统,异响,
上汽通用别克,君越,2018款 20T 双离合 精英型,别克君越三元催化故障经销商不予索赔,车身附件及电器,三元催化器故障,服务态度
广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国VI,广汽本田雅阁PCU升级后电机频繁充电,,服务流程不完善,
上汽大众,途观L,2017款 380TSI 四驱 豪华版,上汽大众途观L变速箱故障启停系统故障,变速器,无法换挡,无法加速
上汽通用雪佛兰,迈锐宝,2018款 530T 豪华版,雪佛兰迈锐宝发动机抖动二缸缸压不足,发动机,抖动,功率不足
北京现代,北京现代ix35,2019款 2.0L 自动 两驱 智勇·畅享版 国V,北京现代ix35车身生锈希望厂家质保,车身附件及电器,车身生锈,
一汽-大众奥迪,奥迪A6L,2019款 45 TFSI 臻选动感型,一汽大众奥迪A6L变速箱异响希望厂家质保,变速器,异响,车轮异响
一汽-大众奥迪,奥迪A4L,2020款 40 TFSI 时尚动感型,一汽大众奥迪A4L空调异味希望尽快处理,车身附件及电器,空调异味,
沃尔沃（进口）,沃尔沃XC90,2020款 改款 T6 智逸豪华版 7座,进口沃尔沃XC90安全气囊触发阈值偏低,车身附件及电器,气囊故障,
SWM斯威汽车,SWM斯威G01,2019款 1.5T 自动 金粉版 国VI F版,SWM斯威G01支架无配件 螺栓断裂要求延保,,配件争议,
一汽-大众奥迪,奥迪Q5,2012款 2.0TFSI  自动 舒适型,一汽大众奥迪Q5变速箱倒车无力影响安全,变速器,无法加速,
上汽大众,途观,2016款 300TSI 自动 四驱 风尚视野版,上汽大众途观耦合器异响告知需要自费维修,车身附件及电器,四驱系统故障,
东风日产,轩逸,2014款 1.6L XV CVT 尊享版,东风日产轩逸发动机机油乳化严重,发动机,机油乳化,
东风本田,本田CR-V,2017款 240TURBO 自动 两驱 舒适版,东风本田CR-V底盘前悬挂异响希望解决,前后桥及悬挂系统,底盘异响,悬挂故障
众泰汽车,众泰SR9,2017款 2.0T 自动 极致之梦版,众泰SR9变速箱故障无法行驶希望解决,变速器,无法加速,
吉利汽车,吉利EC8,2011款 2.0L 自动 舒适版,吉利EC8仪表屏幕模糊无法正常显示,车身附件及电器,仪表故障,
广汽本田,雅阁,2018款 2.0L 锐智版 锐·混动 国VI,广汽本田雅阁急加速时变速箱异响,变速器,异响,
福特（进口）,福特F-150,2018款 3.5T 猛禽性能劲化版,进口福特F-150半轴异响漏油希望厂家质保,前后桥及悬挂系统,半轴渗油,
一汽-大众,迈腾,2017款 330TSI DSG 豪华型,一汽大众迈腾车钥匙无故漏电要求解决,车身附件及电器,车钥匙故障,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
吉利汽车,博瑞,2016款 1.8T 舒适型,吉利博瑞变速箱换挡顿挫影响正常使用,变速器,顿挫,
北京现代,北京现代ix35,2010款 2.0 自动 2WD 精英版 GLS,北京现代ix35发动机拉缸出现异响,发动机,异响,拉缸
广汽本田,缤智,2015款 1.8L CVT 两驱豪华型,广汽本田缤智安全带故障不回位要求解决,车身附件及电器,安全带故障,
吉利汽车,博瑞,2015款 1.8T 尊贵型,吉利博瑞怠速时发动机VVT部件异响,发动机,异响,
长安汽车,逸动XT,2015款 1.6L 手动 致酷型 国IV XT,长安逸动XT车身生锈 车内异响 减震器颠簸,前后桥及悬挂系统,行驶中颠簸,车身生锈
BEIJING汽车,绅宝D70,2018款 性能版 1.8T 舒适版,BEIJING绅宝D70行驶中机油管脱落,发动机,异响,故障灯亮
广汽本田,雅阁,2018款 230TURBO 舒适版 国VI,广汽本田雅阁防滑灯胎压灯以及手刹灯报警,制动系统,ABS故障,手刹故障
东风日产,天籁,2020款 2.0L XL Upper 智行版,东风日产天籁智联APP无法使用希望处理,车身附件及电器,车载互联故障,
广汽丰田,YARiS L 致炫,2020款 致炫X 1.5L CVT 领先版,广汽丰田YARiS L 致炫行驶时左后视镜异响,车身附件及电器,后视镜故障,
华晨宝马,宝马3系,2020款 325i M运动套装,华晨宝马3系发动机机油异常损耗 机油报警,发动机,故障灯亮,烧机油
一汽-大众,宝来,2019款 改款 1.5L 手动 时尚型 国V,一汽大众宝来吃胎偏磨 刹车时出现异响,制动系统,异响,吃胎偏磨
东风本田,INSPIRE,2019款 锐·混动 2.0L 净尚版 国V,东风本田INSPIRE发动机漏油 座椅轨道异响,发动机,漏油,座椅故障
宝马（进口）,宝马7系,2019款 改款 740Li 领先型 M 运动套装,进口宝马7系车辆失控导致事故产生,制动系统,刹车失灵,行车安全辅助系统故障
上汽通用别克,昂科威,2020款 20T 两驱 领先型,别克昂科威车机无法连接网络要求解决,车身附件及电器,影音系统故障,车载互联故障
长安福特,福睿斯,2015款 1.5L 自动 时尚型,长安福特福睿斯驾驶室车窗升降失灵,车身附件及电器,车窗升降故障,
一汽-大众,速腾,2019款 280TSI DSG 舒适型 国VI,一汽大众速腾经销商杂物箱无零配件,,配件争议,
广汽乘用车,传祺GS4,2017款 235T 手动 两驱 豪华版,广汽传祺GS4发动机缺缸 排放系统故障,发动机,故障灯亮,
长安福特,翼搏,2013款 1.5 自动 风尚型,长安福特翼搏变速箱抵挡位顿挫严重,变速器,顿挫,
上汽大通,上汽大通MAXUS V80,2014款 2.5T 手动 尊杰版短轴低顶,上汽大通MAXUS V80发动机缸体开裂,发动机,缸体破损,
上汽大众,途观L,2017款 330TSI 两驱 豪华版,上汽大众途观L变速箱处于紧急运行状态,变速器,电脑板故障,
比亚迪,宋Pro,2019款 1.5T 自动 精英型,比亚迪宋Pro首保不予免费希望得到处理,,承诺不兑现,
吉利汽车,博越,2020款 1.8TD DCT 智尊PRO,吉利博越导航语音提示失灵影响使用,车身附件及电器,影音系统故障,
上汽大众,凌渡,2015款 280TSI DSG 舒适版,上汽大众凌渡车内异味严重影响身体健康,车身附件及电器,车内异味,
一汽丰田,卡罗拉,2019款 1.2T S-CVT GL-i精英版,一汽丰田卡罗拉中控台异响 车窗玻璃异响,车身附件及电器,门窗异响,中控台异响
上汽通用五菱,五菱宏光,2019款 1.5L S 标准型 国VI LAR,上汽通用五菱宏光变速箱低速时异响,变速器,异响,
长安福特,福睿斯,2017款 1.5L 手动 舒适型,长安福特福睿斯4S店不办理解压过户手续,,服务收费,承诺不兑现
梅赛德斯-AMG,奔驰GLE AMG,2020款 AMG GLE 53 4MATIC+ 轿跑SUV,奔驰GLE AMG新车发动机故障灯亮 无法换挡,发动机,故障灯亮,无法换挡
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
长安汽车,奔奔MINI,2012款 1.0L 手动 时尚版 国IV,长安奔奔MINI行驶时转向助力经常失灵,转向系统,失灵,助力泵故障
上汽大众斯柯达,明锐,2018款 1.6L 自动 舒适版,斯柯达明锐行驶时共振 车内异味严重,车身附件及电器,车内异味,车身共振
东风雪铁龙,雪铁龙C4L,2013款 1.6THP 自动 劲智版,东风雪铁龙C4L行驶中刹车失灵存在安全隐患,制动系统,刹车失灵,
